2022-01-24 22:32:08.733[1643059928733] | INFO  | main       | c.l.b.BinanceTraderBotApplication    - Starting BinanceTraderBotApplication using Java 11.0.6 on Hermes with PID 82854 (/Users/luczsoma/Projects/binance-trader-bot/target/classes started by luczsoma in /Users/luczsoma/Projects/binance-trader-bot)
2022-01-24 22:32:08.735[1643059928735] | DEBUG | main       | c.l.b.BinanceTraderBotApplication    - Running with Spring Boot v2.6.2, Spring v5.3.14
2022-01-24 22:32:08.736[1643059928736] | INFO  | main       | c.l.b.BinanceTraderBotApplication    - No active profile set, falling back to default profiles: default
2022-01-24 22:32:11.536[1643059931536] | WARN  | main       | o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2022-01-24 22:32:11.614[1643059931614] | INFO  | main       | c.l.b.BinanceTraderBotApplication    - Started BinanceTraderBotApplication in 3.291 seconds (JVM running for 3.84)
2022-01-24 22:32:12.605[1643059932605] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36919.94000000
2022-01-24 22:32:12.608[1643059932608] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36919.94000000
2022-01-24 22:32:12.608[1643059932608] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00000000
2022-01-24 22:32:12.609[1643059932609] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:12.623[1643059932623] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36920.00000000
2022-01-24 22:32:12.623[1643059932623] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36920.00000000
2022-01-24 22:32:12.623[1643059932623] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00000000
2022-01-24 22:32:12.623[1643059932623] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:12.632[1643059932632] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36920.00000000
2022-01-24 22:32:12.632[1643059932632] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36920.00000000
2022-01-24 22:32:12.633[1643059932633] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00000000
2022-01-24 22:32:12.633[1643059932633] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:12.667[1643059932667] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36920.04000000
2022-01-24 22:32:12.668[1643059932668] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36920.04000000
2022-01-24 22:32:12.668[1643059932668] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00000000
